"BHI",2.17,2.64,-0.83,28.26B,1.47,66.39,51.74
"BOBE",5.00,0.81,2.12,1.05B,6.55,53.94,40.65
"BHLB",1.20,4.05,1.66,1.12B,2.03,36.40,28.76
"BODY",N/A,N/A,0.0000,N/A,0.0000,0.0085,0.0120
"BID",4.42,2.63,1.74,2.18B,14.20,41.35,35.20
"BOFI",2.41,5.19,1.31,1.79B,17.77,27.34,20.53
"BIG",4.48,0.47,1.04,2.48B,13.09,55.22,50.14
"BOH",3.21,6.16,2.43,3.78B,15.35,87.49,73.76
"BIIB",5.14,5.46,1.59,60.65B,1.29,286.40,289.52
"BOKF",1.62,4.09,2.75,5.49B,10.56,83.55,69.11
"BIO",1.98,2.58,6.54,5.31B,8.16,180.71,156.95
"BONE",N/A,N/A,0.00,N/A,0.00,3.25,3.68
"BIOS",N/A,0.13,-0.22,122.39M,6.71,1.05,2.44
"BONT",N/A,0.01,-0.01,33.68M,21.31,1.58,1.59
"BIRT",N/A,N/A,0,N/A,0,N/A,5
"BOOM",1.97,1.46,-1.85,231.71M,8.24,16.15,11.67
"BJ",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BOX",20.69,4.92,0.36,1.82B,8.98,14.34,13.32
"BJRI",3.01,0.95,1.37,887.29M,3.84,39.35,39.88
"BPAX",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BK",1.39,3.35,1.37,49.99B,2.34,47.56,41.84
"BPFH",1.80,3.68,2.35,1.33B,3.29,15.80,13.01
"BKCC",N/A,N/A,3.35,N/A,0.00,7.39,7.97
"BPI",1.64,0.89,4.93,485.60M,8.61,10.35,7.78
"BKD",0.99,0.55,0.53,2.37B,3.44,12.55,15.72
"BPOP",0.85,2.65,2.94,4.53B,1.51,43.85,36.28
"BKE",2.54,1.10,56.85,1.13B,12.89,23.40,24.65
"BPZ",N/A,N/A,0,N/A,0,0,1
"BKH",2.01,2.26,2.84,3.30B,11.23,60.76,60.50
"BR",7.42,2.44,1.81,7.85B,3.08,65.48,66.23
"BKI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BRC",3.16,1.74,2.84,1.95B,3.97,38.20,33.69
"BKMU",1.40,4.22,4.66,411.04M,2.33,8.85,7.96
"BRCD",1.97,2.16,2.42,5.05B,1.12,12.46,9.93
"BKR",N/A,N/A,0,N/A,0,N/A,3
"BRCM",N/A,N/A,0.00,N/A,0.00,N/A,52.95
"BKS",1.71,0.23,2.34,918.45M,6.30,12.60,11.68
"BRE",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BKU",1.64,4.31,1.27,3.89B,2.64,37.28,31.60
"BRK.B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BKYF",N/A,N/A,0.00,N/A,0.00,N/A,48.06
"BRKL",1.62,5.21,3.67,1.14B,3.04,16.00,12.42
"BLC",N/A,N/A,0,N/A,0,N/A,2
"BRKR",4.96,2.13,1.70,3.43B,5.11,21.49,22.81
"BLDR",4.28,0.20,0.10,1.27B,6.68,11.55,11.71
"BRKS",1.97,1.94,1.64,1.10B,1.31,16.43,13.20
"BLK",2.23,5.78,1.90,63.87B,3.16,392.62,361.03
"BRLI",N/A,N/A,0.00,N/A,0.00,N/A,36.97
"BRO",2.71,3.63,3.56,6.30B,3.43,44.88,37.99
"CAP",N/A,N/A,0.00,N/A,0.00,12.99,21.75
"BRS",0.52,0.49,-1.40,722.96M,7.27,20.68,13.13
"CAR",7.20,0.39,1.34,3.38B,6.17,38.33,35.43
"BRY",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"CAS",N/A,N/A,0.00,N/A,0.00,0.41,1.18
"BSFT",4.28,3.78,7.88,1.28B,5.87,41.20,43.60
"CASC",1.44,N/A,0.00,115.01M,5.97,5.37,1.60
"BSRR",1.61,4.11,2.47,337.33M,2.15,24.33,18.66
"CASS",3.84,6.58,0.00,813.17M,14.29,72.90,56.50
"BSTC",6.90,14.26,1.54,367.93M,3.77,51.40,42.54
"CASY",4.07,0.78,2.39,4.92B,5.25,124.57,123.63
"BSX",4.49,3.60,1.57,29.24B,1.99,21.40,22.91
"CAT",3.46,1.35,2.41,54.24B,6.82,92.58,83.91
